Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
BarbzGoStream,0.007622709490071656,0.00014791247834477773,0.004174224540262217,0.0646071067702339,0.5138571131613032,0.4444444444444445,0.4444444444444444,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
PinkTape,0.012301197854348439,0.00020867241810129745,0.0013165158597048354,0.002305555561471709,0.5209153711535484,0.4506260521885522,0.1898674242424242,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
EndlessFashion,0.012301197854348439,0.00020867241810129745,0.0013165158597048354,0.002305555561471709,0.5410738383198411,0.4603909465020576,0.2907407407407407,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
gamer,0.002446795638788433,3.0379969878259865e-06,1.051530239380859e-05,0.00010764294877106205,0.4506567300347742,0.43132716049382713,0.1333333333333333,0.07757760429713649,0.32337167840545483,0.0,0.49400546230529935,0.05332317982059348,0.0
gaming,0.002446795638788433,3.0379969878259865e-06,1.051530239380859e-05,0.00010764294877106205,0.46324153674598484,0.4644097222222222,0.2352083333333333,0.07757760429713649,0.32337167840545483,0.0,0.49400546230529935,0.05332317982059348,0.0
setup,0.002446795638788433,3.0379969878259865e-06,1.051530239380859e-05,0.00010764294877106205,0.3278483006867043,0.4675347222222222,0.3073809523809523,0.07757760429713649,0.32337167840545483,0.0,0.49400546230529935,0.05332317982059348,0.0
BarbzGoStream,0.002446795638788433,3.0379969878259865e-06,1.051530239380859e-05,0.00010764294877106205,0.4433582570874963,0.4444444444444445,0.375,0.29101765423327886,0.4659626412227891,0.25620565859029526,0.5253503172085812,0.19597988749524853,0.0
EndlessFashion,0.06461153758251213,0.005689408858951116,0.009689500645814822,0.02144223558151952,0.3552031729623209,0.45879629629629626,0.2116666666666666,0.26052621852811575,0.44308422267030095,0.0924196177548746,0.46447917637992897,0.18197401015199116,0.0
PinkTape,0.06461153758251213,0.005689408858951116,0.009689500645814822,0.02144223558151952,0.34726052994097345,0.4430555555555556,0.125,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
PinkTape,0.010903028917897907,0.00039000286331216104,0.03575167762886941,0.03617315128788946,0.5514338760470358,0.4430555555555556,0.125,0.19954334711778934,0.406922245698173,0.06161907208670653,0.46113669855764144,0.14699552551455197,0.0
